Liquid A [uL],Liquid B [uL],Liquid C [uL],RGB RMSE,R,G,B
64.0,87.0,49.0,8.0,140.0,146.0,69.0
48.0,44.0,108.0,7.0,150.0,156.0,70.0
67.0,86.0,47.0,14.0,132.0,138.0,74.0
78.0,95.0,27.0,8.0,136.0,147.0,70.0
8.0,41.0,151.0,43.0,176.0,208.0,107.0
72.0,44.0,84.0,20.0,175.0,154.0,64.0
3.0,44.0,153.0,48.0,174.0,214.0,114.0
56.0,41.0,104.0,27.0,183.0,176.0,71.0
55.0,46.0,98.0,27.0,184.0,174.0,74.0
195.0,4.0,1.0,66.0,244.0,151.0,112.0
35.0,94.0,70.0,19.0,120.0,178.0,79.0
55.0,143.0,1.0,93.0,73.0,140.0,209.0
